Kod;Uprawnieni do głosowania;Ważnych kart;Oddane głosy;Trzecia Droga;Lewica;Prawo i Sprawiedliwość;Konfederacja;Koalicja Obywatelska;Data;Typ wyborów
1438000;60046;46786;46165;6767;4172;16512;3123;13640;2023-10-15;Sejmowe
1461000;37369;27285;26823;4084;1862;10949;2043;6823;2023-10-15;Sejmowe
1462000;86942;65643;64895;11332;4987;22451;3446;20934;2023-10-15;Sejmowe
1463000;150435;115258;114151;14556;7122;45128;7752;35521;2023-10-15;Sejmowe
1464000;57206;44579;44030;6009;2483;17511;3747;12078;2023-10-15;Sejmowe
1465000;1357214;1152583;1144944;157745;148116;252746;73083;483832;2023-10-15;Sejmowe
1601000;66567;46695;45806;5230;3397;17152;3416;15030;2023-10-15;Sejmowe
1602000;33794;22258;21726;1913;1152;9828;1339;6610;2023-10-15;Sejmowe
1603000;67625;44107;43082;4795;3123;11674;2521;16614;2023-10-15;Sejmowe
1604000;48374;31100;30426;5336;1852;10342;1993;9070;2023-10-15;Sejmowe
1605000;47276;28824;27998;4108;1799;6636;1766;8785;2023-10-15;Sejmowe
1606000;32432;22725;22176;3938;1724;8180;1619;5958;2023-10-15;Sejmowe
1607000;101958;68098;66801;7558;4295;27584;4612;20642;2023-10-15;Sejmowe
1608000;49041;30791;29996;4350;1996;9987;1825;7930;2023-10-15;Sejmowe
1609000;95340;60316;58751;7865;4138;14538;3769;19620;2023-10-15;Sejmowe
1610000;40659;25741;25124;2724;1547;9363;1815;6750;2023-10-15;Sejmowe
1611000;57345;35092;33931;4372;1993;8843;2089;10813;2023-10-15;Sejmowe
1661000;96778;74883;74151;8966;7747;15895;4386;33419;2023-10-15;Sejmowe
1801000;17371;11313;11075;3297;462;4174;1019;1899;2023-10-15;Sejmowe
1802000;49763;33387;32813;4073;1012;21553;2787;2754;2023-10-15;Sejmowe
1803000;102205;72627;71545;8209;2739;39806;6384;11597;2023-10-15;Sejmowe
1804000;90678;61874;60766;7072;2367;35567;5262;8624;2023-10-15;Sejmowe
1805000;86552;59155;58063;6878;2292;34236;5131;8064;2023-10-15;Sejmowe
1806000;47520;31136;30711;2530;1346;18772;3781;3207;2023-10-15;Sejmowe
1807000;87463;60391;59411;7917;2413;33670;5140;8647;2023-10-15;Sejmowe
1808000;51843;35318;34864;5983;792;21514;2918;2676;2023-10-15;Sejmowe
1809000;42292;27490;26877;4248;1871;14926;2204;3075;2023-10-15;Sejmowe
1810000;62178;45691;45175;5431;1740;25281;4494;6092;2023-10-15;Sejmowe
1811000;102127;72178;71211;9255;3217;38010;6061;12141;2023-10-15;Sejmowe
1812000;50361;32384;31908;3006;1283;19517;3139;4091;2023-10-15;Sejmowe
