"Kod";"Nazwa";"ogółem;2018;[-]";"ogółem;2019;[-]";"ogółem;2020;[-]";"ogółem;2021;[-]";"ogółem;2022;[-]";"ogółem;2023;[-]";
3201000;"Powiat białogardzki";40,6;41,0;42,0;42,5;43,0;43,5;
3202000;"Powiat choszczeński";40,7;41,2;42,5;42,9;43,5;44,0;
3203000;"Powiat drawski";40,7;41,2;42,4;42,7;43,2;43,8;
3204000;"Powiat goleniowski";40,2;40,6;41,4;41,8;42,4;42,9;
3205000;"Powiat gryficki";40,6;41,1;42,2;42,7;43,2;43,8;
3206000;"Powiat gryfiński";40,6;41,2;42,2;42,7;43,2;43,8;
3207000;"Powiat kamieński";42,5;43,0;43,9;44,3;44,8;45,4;
3208000;"Powiat kołobrzeski";42,7;43,2;44,1;44,5;45,1;45,7;
3209000;"Powiat koszaliński";40,0;40,5;41,3;41,7;42,2;42,7;
3210000;"Powiat myśliborski";41,0;41,6;42,3;42,7;43,3;43,9;
3211000;"Powiat policki";39,6;40,1;40,6;41,0;41,5;42,0;
3212000;"Powiat pyrzycki";41,0;41,4;42,8;43,2;43,6;44,2;
3213000;"Powiat sławieński";40,6;41,0;42,0;42,5;43,0;43,6;
3214000;"Powiat stargardzki";40,9;41,3;41,9;42,2;42,6;43,1;
3215000;"Powiat szczecinecki";41,4;41,9;43,0;43,5;43,9;44,4;
3216000;"Powiat świdwiński";41,4;41,8;43,0;43,4;43,9;44,4;
3217000;"Powiat wałecki";40,9;41,5;42,4;42,8;43,2;43,8;
3218000;"Powiat łobeski";41,0;41,6;43,0;43,4;43,8;44,3;
3261000;"Powiat m. Koszalin";43,1;43,6;43,7;44,1;44,6;45,0;
3262000;"Powiat m. Szczecin";42,9;43,3;43,0;43,3;43,7;44,1;
3263000;"Powiat m. Świnoujście";44,8;45,2;45,8;46,2;46,7;47,4;
